Dia,"Cantidad Cielo cubierto 12:00","Cantidad Cielo cubierto 18:00","Cantidad Cielo cubierto 00:00","Cantidad de cielo cubierto Media diaria ",Humedad Relativa del aire 12:00,"Humedad Relativa del aire 18:00","Humedad Relativa del aire 00:00","Humedad Relativa Del aire Media diaria ",T. Minima,"T.Minima Hora Local",T. Maxima,"T. maxima Hora Local","Temperatura Media diaria","Viento PredominanteDirección","Viento predominante Fuerza","Presion QFE 12","Presion QFE 18","Presion QFE 00","Presion QFE Media diaria ","Precipitación (12-18)","Precipitación (18-00)","Precipitación (00-06)","Precipitación (06-12)","Precipitación Diaria"
1-4-2023,1.0,2.0,0.0,1.0,77.0,56.0,78.0,72.0,9.5,08:27,23.3,16:39,15.8,225,9.7,1014.4,1013.8,1013.9,1014.0,0.0,0.0,0.0,0.0,0.0
2-4-2023,7.0,6.0,1.0,4.7,97.0,72.0,71.0,84.2,13.0,07:54,18.6,16:29,15.6,225,7.7,1014.2,1014.7,1015.1,1014.7,0.0,0.0,0.0,0.0,0.0
3-4-2023,1.0,0.0,0.0,0.3,97.0,53.0,61.0,77.0,8.5,06:56,20.6,14:45,14.3,225,9.8,1015.0,1014.0,1013.8,1014.3,0.0,0.0,0.0,0.0,0.0
4-4-2023,0.0,1.0,3.0,1.3,81.0,43.0,81.0,71.5,6.9,06:13,20.5,13:29,14.3,225,6.2,1013.3,1009.2,1009.0,1010.5,0.0,0.0,0.0,0.0,0.0
5-4-2023,8.0,4.0,7.0,6.3,94.0,72.0,91.0,87.8,10.9,03:47,18.2,13:53,13.4,0,5.6,1012.9,1013.7,1015.1,1013.9,0.0,0.0,2.6,0.0,2.6
6-4-2023,8.0,0.0,0.0,2.7,99.0,65.0,73.0,84.0,14.0,05:11,20.2,14:14,15.8,225,9.5,1016.3,1016.6,1016.6,1016.5,0.0,0.0,0.0,0.0,0.0
7-4-2023,6.0,4.0,0.0,3.3,81.0,57.0,80.0,74.8,10.2,07:09,20.5,15:36,14.5,225,8.5,1015.4,1013.5,1012.9,1013.9,0.0,0.0,0.0,0.0,0.0
8-4-2023,0.0,0.0,0.0,0.0,81.0,53.0,81.0,74.0,9.8,06:53,21.1,14:54,14.7,225,6.7,1014.2,1013.1,1013.6,1013.6,0.0,0.0,0.0,0.0,0.0
9-4-2023,2.0,6.0,0.0,2.7,97.0,37.0,82.0,78.2,6.9,07:19,21.7,13:11,13.7,225,7.1,1014.7,1014.8,1016.0,1015.2,0.0,0.0,0.0,0.0,0.0
10-4-2023,8.0,7.0,8.0,7.7,93.0,84.0,97.0,91.8,11.6,07:34,21.5,16:25,15.5,361,1.8,1012.7,1013.1,1013.0,1012.9,0.0,0.0,2.2,0.6,2.8
11-4-2023,8.0,7.0,9.0,8.0,99.0,71.0,99.0,92.0,14.7,06:26,21.0,15:42,16.6,0,4.2,1014.4,1014.8,1014.7,1014.6,0.0,0.0,0.0,0.0,0.0
12-4-2023,9.0,7.0,8.0,8.0,99.0,82.0,99.0,94.8,13.3,05:14,19.4,14:11,14.9,225,3.8,1013.1,1012.3,1012.5,1012.6,0.0,0.0,0.0,0.0,0.0
13-4-2023,8.0,8.0,8.0,8.0,98.0,86.0,90.0,93.0,12.6,20:44,16.3,15:39,14.0,0,6.1,1013.1,1014.6,1014.4,1014.0,0.0,0.0,0.0,0.0,0.0
14-4-2023,8.0,8.0,0.0,5.3,90.0,73.0,82.0,83.8,14.5,20:36,18.1,15:17,15.6,225,7.2,1014.4,1015.5,1017.0,1015.6,0.0,0.0,0.0,0.0,0.0
15-4-2023,9.0,0.0,0.0,3.0,99.0,52.0,84.0,83.5,8.9,04:44,18.4,16:37,12.9,225,6.5,1017.0,1016.0,1016.4,1016.5,0.0,0.0,0.0,0.0,0.0
16-4-2023,2.0,0.0,0.0,0.7,99.0,64.0,64.0,81.5,6.7,07:06,16.9,14:50,11.8,225,12.3,1018.5,1019.6,1019.8,1019.3,0.0,0.0,0.0,0.0,0.0
17-4-2023,0.0,1.0,3.0,1.3,87.0,56.0,58.0,72.0,3.7,06:37,15.8,13:49,10.3,225,11.3,1021.0,1020.1,1020.7,1020.6,0.0,0.0,0.0,0.0,0.0
18-4-2023,6.0,7.0,6.0,6.3,80.0,59.0,83.0,75.5,6.2,06:47,16.4,13:34,11.3,225,8.8,1022.7,1022.8,1022.7,1022.7,0.0,0.0,0.0,0.0,0.0
19-4-2023,7.0,1.0,0.0,2.7,90.0,55.0,83.0,79.5,8.0,06:05,21.3,14:23,13.7,180,4.9,1019.8,1014.7,1011.2,1015.2,0.0,0.0,0.0,0.0,0.0
20-4-2023,4.0,8.0,8.0,6.7,93.0,92.0,99.0,94.2,10.1,03:58,14.4,08:49,13.0,0,10.2,1010.8,1012.0,1013.7,1012.2,0.0,0.0,1.8,0.6,2.4
21-4-2023,8.0,8.0,0.0,5.3,99.0,86.0,92.0,94.0,12.7,04:57,18.6,15:55,14.1,0,6.4,1016.4,1017.6,1017.9,1017.3,1.0,0.0,0.0,0.0,1.0
22-4-2023,7.0,0.0,0.0,2.3,99.0,75.0,83.0,89.0,10.5,05:50,17.2,16:46,13.4,225,7.0,1016.7,1015.3,1015.8,1015.9,0.0,0.0,0.0,0.0,0.0
23-4-2023,0.0,1.0,0.0,0.3,99.0,72.0,97.0,91.8,8.2,07:16,18.2,16:05,12.3,180,5.1,1016.5,1016.0,1016.4,1016.3,0.0,0.0,0.0,0.0,0.0
24-4-2023,8.0,8.0,8.0,8.0,98.0,88.0,90.0,93.5,11.0,06:23,13.0,14:52,11.9,0,3.8,1017.9,1018.6,1018.6,1018.4,0.0,0.0,0.0,0.0,0.0
25-4-2023,8.0,7.0,7.0,7.3,92.0,69.0,90.0,85.8,11.5,03:49,16.1,13:11,12.9,361,2.4,1015.9,1015.3,1016.2,1015.8,0.0,0.0,0.0,0.0,0.0
26-4-2023,5.0,6.0,8.0,6.3,95.0,64.0,83.0,84.2,9.5,02:38,20.5,12:49,13.6,225,5.3,1016.8,1015.2,1015.1,1015.7,0.0,0.0,0.0,0.0,0.0
27-4-2023,8.0,8.0,8.0,8.0,99.0,98.0,98.0,98.5,12.9,02:55,14.5,16:14,13.9,0,8.6,1014.5,1014.0,1011.9,1013.5,0.2,0.0,0.0,0.0,0.2
28-4-2023,8.0,8.0,8.0,8.0,89.0,98.0,97.0,93.2,13.6,22:54,15.1,19:42,14.2,0,17.8,1006.2,1003.9,1006.0,1005.4,25.6,15.6,5.6,5.2,52.0
29-4-2023,8.0,8.0,7.0,7.7,92.0,97.0,88.0,92.2,11.6,16:53,16.1,12:03,14.9,0,9.6,1009.4,1011.2,1012.9,1011.2,5.6,8.4,0.0,0.0,14.0
30-4-2023,4.0,5.0,,,98.0,62.0,85.0,85.8,8.1,07:19,16.7,14:47,12.5,0,5.5,1020.5,1024.2,1025.6,1023.4,0.0,0.0,0.0,0.0,0.0
1-5-2023,3.0,0.0,0.0,1.0,96.0,48.0,77.0,79.2,4.9,07:55,15.3,14:08,9.8,225,8.5,1024.4,1022.9,1022.6,1023.3,0.0,0.0,0.0,0.0,0.0
2-5-2023,0.0,0.0,0.0,0.0,97.0,57.0,79.0,82.5,4.0,04:54,16.4,15:42,9.8,225,6.9,1021.1,1017.7,1016.5,1018.4,0.0,0.0,0.0,0.0,0.0
3-5-2023,2.0,0.0,0.0,0.7,99.0,63.0,84.0,86.2,4.6,07:44,16.0,14:03,9.7,180,4.6,1015.7,1014.3,1014.7,1014.9,0.0,0.0,0.0,0.0,0.0
4-5-2023,3.0,4.0,5.0,4.0,98.0,54.0,79.0,82.2,4.7,07:37,16.7,13:22,10.2,225,6.8,1016.6,1015.9,1017.0,1016.5,0.0,0.0,0.0,0.0,0.0
5-5-2023,5.0,0.0,0.0,1.7,99.0,58.0,93.0,87.2,6.0,06:07,18.8,13:50,12.0,180,4.5,1014.5,1012.6,1013.4,1013.5,0.0,0.0,0.0,0.0,0.0
6-5-2023,8.0,8.0,8.0,8.0,97.0,83.0,95.0,93.0,11.6,23:41,13.9,15:02,12.7,0,6.7,1013.2,1014.9,1017.9,1015.3,0.0,0.0,0.0,0.0,0.0
